Country	Total Gun Deaths	Gun Homicides	Gun Suicides	Unintentional	Undetermined	Year	Gun Data Source
Kyrgyzstan	1.01	0.53	0.07	0.28	0.13	2010	WHO 2012[10]
India	0.93	0.93	NA	NA	NA	2000	UNODC 2000[11]
Hungary	0.85	0.13	0.72	NA	NA	2009	WHO 2012[10]
Cyprus	0.83	0.24	0.48	NA	0.11	2010	WHO 2012[10]
Uzbekistan	0.68	0.58	0.03	NA	0.08	2005	WHO 2012[10]
Spain	0.63	0.15	0.42	0.05	0.01	2010	WHO 2012[10]
Netherlands	0.46	0.20	0.24	0.01	0.01	2010	WHO 2012[10]
Taiwan	0.42	0.13	0.12	0.11	NA	1994	Krug 1998[13]
Belarus	0.38	0.38	NA	NA	NA	2002	UNODC 2002[7]
Ukraine	0.35	0.35	NA	NA	NA	2000	UNODC 2000[11]
United Kingdom	0.25	0.04	0.17	0.01	0.02	2011	WHO2012 [10]
Poland	0.26	0.02	0.12	0.02	0.09	2010	WHO 2012[10]
Singapore	0.24	0.07	0.17	0	NA	1994	Krug 1998[13]
Romania	0.20	0.04	0.06	0.09	0.01	2010	WHO 2012[10]
Hong Kong	0.19	0.12	0.07	0	NA	1993	Krug 1998[13]
Mauritius	0.19	0	0.09	0.09	NA	1993	Krug 1998[13]
Qatar	0.18	0.18	NA	NA	NA	2000	UNODC 2000[11]
South Korea	0.13	0.04	0.02	0.05	NA	1994	Krug 1998[13]
Japan	0.07	0.02	0.04	0	NA	1994	Krug 1998[13]
Azerbaijan	0.07	0.04	0.01	0.02	NA	2007	WHO 2012[10]
Chile	0.06	0.06	NA	NA	NA	2002	UNODC 2002[7]
 
