Country	Homicides	Total Homicides	Region	Subregion
Mauritius	2.5	33	Africa	Eastern Africa
Luxembourg	2.5	12	Europe	Western Europe
Afghanistan	2.4	712+	Asia	Southern Asia
Malaysia	2.3	604	Asia	South-Eastern Asia
Syria	2.3	463+	Asia	Western Asia
Azerbaijan	2.2	206	Asia	Western Asia
Kuwait	2.2	59	Asia	Western Asia
Lebanon	2.2	95	Asia	Western Asia
Finland	2.2	118	Europe	Northern Europe
Tajikistan	2.1	143	Asia	Central Asia
Israel	2.1	159+	Asia	Western Asia
Iraq	2.0	608+	Asia	Western Asia
Bulgaria	2.0	147	Europe	Eastern Europe
Romania	2.0	421	Europe	Eastern Europe
São Tomé and Príncipe	1.9	3	Africa	Middle Africa
Macedonia	1.9	40	Europe	Southern Europe
Jordan	1.8	100	Asia	Western Asia
Cyprus	1.7	19	Asia	Western Asia
Czech Republic	1.7	181	Europe	Eastern Europe
Belgium	1.7	180	Europe	Western Europe
Canada	1.6	554	Americas	Northern America
Vietnam	1.6	1,346	Asia	South-Eastern Asia
Maldives	1.6	5	Asia	Southern Asia
Somalia	1.5	138+	Africa	Eastern Africa
Algeria	1.5	516	Africa	Northern Africa
Slovakia	1.5	84	Europe	Eastern Europe
Bosnia and Herzegovina	1.5	56	Europe	Southern Europe
Greece	1.5	176	Europe	Southern Europe
Morocco	1.4	447	Africa	Northern Africa
Armenia	1.4	44	Asia	Western Asia
Croatia	1.4	62	Europe	Southern Europe
Hungary	1.3	133	Europe	Eastern Europe
Andorra	1.3	1	Europe	Southern Europe
Egypt	1.2	992	Africa	Northern Africa
Ireland	1.2	54	Europe	Northern Europe
United Kingdom	1.2	722	Europe	Northern Europe
Portugal	1.2	124	Europe	Southern Europe
Serbia	1.2	123	Europe	Southern Europe
Tunisia	1.1	117	Africa	Northern Africa
Poland	1.1	436	Europe	Eastern Europe
France	1.1	682	Europe	Western Europe
Netherlands	1.1	179	Europe	Western Europe
Samoa	1.1	2	Oceania	Polynesia
China	1.0	13,410	Asia	Eastern Asia
Bhutan	1.0	7	Asia	Southern Asia
Saudi Arabia	1.0	265+	Asia	Western Asia
Sweden	1.0	91	Europe	Northern Europe
Malta	1.0	4	Europe	Southern Europe
Australia	1.0	229	Oceania	Australasia
Tonga	1.0	1	Oceania	Polynesia
Qatar	0.9	13	Asia	Western Asia
Denmark	0.9	47	Europe	Northern Europe
Italy	0.9	529	Europe	Southern Europe
New Zealand	0.9	39	Oceania	Australasia
Vanuatu	0.9	2	Oceania	Melanesia
Federated States of Micronesia	0.9	1	Oceania	Micronesia
United Arab Emirates	0.8	39	Asia	Western Asia
Spain	0.8	390	Europe	Southern Europe
Germany	0.8	690	Europe	Western Europe
Macau	0.7	4	Asia	Eastern Asia
Oman	0.7	18	Asia	Western Asia
Slovenia	0.7	15	Europe	Southern Europe
Switzerland	0.7	52	Europe	Western Europe
Bahrain	0.6	6	Asia	Western Asia
Norway	0.6	29	Europe	Northern Europe
Austria	0.6	56	Europe	Western Europe
Guam	0.6	1	Oceania	Micronesia
Brunei	0.5	2	Asia	South-Eastern Asia
French Polynesia	0.4	1	Oceania	Polynesia
Japan	0.3	442 [8]	Asia	Eastern Asia
Singapore	0.3	16	Asia	South-Eastern Asia
Iceland	0.3	1	Europe	Northern Europe
Hong Kong	0.2	17	Asia	Eastern Asia
Monaco	0.0	0	Europe	Western Europe
Palau	0.0	0	Oceania	Micronesia
 
